Sample ID,PX,PY
r539,165.833708,303.79797
r540,91.1645331,348.362125
r541,212.063699,434.427562
r542,270.722458,362.684409
r543,164.383984,109.849206
r544,81.8867254,157.723965
r545,175.009632,218.611596
r546,222.221961,391.663269
r547,200.073121,103.631985
r548,93.9695016,319.658587
r549,123.003943,383.595163
r550,116.759622,322.919678
r551,257.175615,197.70031
r552,87.8076112,411.421108
r553,203.431124,279.833736
r554,73.0042621,237.378062
r555,65.6787249,307.158007
r556,62.286255,351.051139
r557,259.947749,101.268591
r558,106.494505,210.689378
r559,252.590531,232.481531
r560,225.487516,274.462904
r561,230.812297,212.069778
r562,89.3616623,459.21021
r563,51.5663975,355.115523
r564,49.3158235,119.148562
r565,108.297791,85.671742
r566,123.71436,352.40224
r567,216.988798,88.3323974
r568,100.399259,459.084543
r569,164.184881,366.811305
r570,222.266733,211.436877
r571,192.660287,156.857986
r572,88.9457645,441.812266
r573,278.330868,146.903442
r574,40.0972104,90.4446055
r575,89.576806,268.895836
r576,192.166742,322.881944
r577,44.1500381,197.219869
r578,46.4165131,101.788684
r579,185.881743,446.982519
r580,176.929925,69.0794537
r581,99.0048035,293.002705
r582,260.686021,121.844707
r583,201.331888,276.953018
r584,194.908105,101.992898
r585,89.9885091,386.118889
r586,155.348257,178.400882
r587,276.76446,239.961589
r588,278.348763,119.709104
r589,148.185769,258.163387
r590,211.563709,247.938436
r591,115.974787,99.4986747
r592,240.085015,356.377928
r593,144.15414,44.5884282
r594,279.038142,114.744021
r595,233.394691,87.7440224
r596,156.69812,265.415274
r597,169.30528,269.078281
r598,121.849578,48.7870726
r599,52.4837451,103.307628
r600,150.093547,273.66176
r601,159.557582,356.901706
r602,107.863414,317.763624
r603,226.34682,361.63577
r604,112.924663,99.9936544
r605,163.732284,286.138467
r606,154.708186,337.052916
r607,224.524534,216.438866
r608,79.3429254,456.176814
r609,146.025796,76.1276273
r610,165.617841,270.628436
r611,154.460605,199.047486
r612,165.914389,202.842622
r613,204.454779,176.629921
r614,124.430085,458.511773
r615,241.511508,353.4914
r616,261.259286,367.511783
r617,65.5143091,419.961428
r618,89.5669403,320.024498
r619,156.794299,330.56802
r620,117.717286,437.349159
r621,153.211342,94.4315957
r622,180.66124,439.237976
r623,93.748003,440.108337
r624,216.167133,76.8981243
r625,76.1161838,394.411501
r626,207.412808,357.991559
r627,103.385897,287.142726
r628,142.351581,168.101073
r629,213.120058,45.7435192
r630,153.87321,175.740807
r631,121.260871,111.355332
r632,97.7421133,131.879653
r633,91.9023227,238.519187
r634,98.0939486,43.3725092
r635,175.577122,366.240379
r636,211.016341,372.396921
r637,65.9431835,89.9880468
r638,164.57821,121.322689
r639,244.525683,459.722415
r640,211.511666,419.357188
r641,115.355604,42.2374836
r642,67.7961142,343.991686
r643,178.000976,210.831625
r644,239.529261,49.6257462
r645,164.881542,206.992243
r646,206.562647,114.565274
r647,159.976957,146.490074
r648,124.998496,423.730799
r649,271.552998,197.444048
r650,261.342701,165.901362
r651,89.1022496,363.851931
r652,269.176704,46.0130002
r653,249.75828,120.211365
r654,207.36276,459.708552
r655,163.022508,47.8263206
r656,155.395964,341.510113
r657,88.4322215,265.688358
r658,64.055045,204.415835
r659,153.42133,249.695078
r660,114.923116,455.769079
r661,225.375833,247.804973
r662,256.25776,450.205045
r663,120.455028,354.127665
r664,237.746619,327.492059
r665,92.8078864,247.793741
r666,223.869697,62.8972653
r667,174.569884,368.078544
r668,141.629329,185.441763
r669,241.256749,49.3142183
r670,108.956941,301.565308
r671,152.972968,94.4411784
r672,227.402688,115.536251
r673,59.852041,307.279648
r674,134.684212,110.867592
r675,62.9587378,192.074555
r676,71.9999766,132.788292
r677,93.0702827,387.597469
r678,105.78869,41.5299508
r679,111.77422,106.156669
r680,129.948825,433.625792
r681,157.948598,361.483654
r682,250.86463,385.085936
r683,219.695159,145.756459
r684,269.244646,89.3734038
r685,119.660851,95.7951438
r686,237.799071,216.13121
r687,71.839692,193.666454
r688,69.9272449,100.804845
r689,214.746331,258.337369
r690,171.620999,353.231959
r691,186.044179,86.1089413
r692,69.5072081,195.23304
r693,250.344328,133.42138
r694,242.163716,416.729068
r695,51.0970752,84.6664886
r696,209.684399,392.379827
r697,168.349853,395.055198
r698,266.909736,51.3049388
r699,258.887195,361.446247
r700,149.434844,155.426601
r701,223.724915,103.383303
r702,161.210699,81.4530639
r703,88.6116359,338.76888
r704,212.113293,231.611405
r705,224.338471,207.637554
r706,209.530491,298.700278
r707,85.9897927,95.7634461
r708,111.495952,73.8694749
r709,118.031504,318.541707
r710,177.250296,373.287178
r711,251.797966,196.813903
r712,250.50481,375.532603
r713,132.604609,380.460008
r714,217.065317,403.138848
r715,231.116647,217.554943
r716,213.798751,80.2663159
r717,132.505261,410.689533
r718,111.556548,161.241323
r719,53.7930766,168.145453
r720,201.686311,382.764173
r721,87.5180625,286.493131
r722,190.025896,318.349874
r723,73.1638817,310.655743
r724,129.538845,135.873299
r725,115.38156,296.166055
r726,235.644376,244.264332
r727,128.396343,283.608037
r728,145.51459,381.322244
r729,145.373927,247.822418
r730,184.438789,74.453958
r731,136.937665,234.795968
r732,269.996387,291.316147
r733,272.984311,423.828931
r734,259.486726,60.170404
r735,59.88969,383.600062
r736,154.446307,76.8108274
r737,121.392464,153.806536
r738,201.624595,395.913087
r739,192.756627,425.857599
r740,246.226747,74.4574171
r741,267.588262,274.177286
r742,177.752096,57.9462512
r743,168.464573,149.573424
r744,266.006666,118.944984
r745,254.165237,278.315214
r746,138.473521,67.5862298
r747,52.0073794,223.77039
r748,226.784631,272.303063
r749,262.230734,266.884333
r750,130.59453,146.886946
r751,98.7810387,109.375064
r752,61.032618,345.668053
r753,133.866039,126.586301
r754,83.8147421,286.315521
r755,72.0699483,423.689311
r756,101.791099,126.925972
r757,172.779291,389.363206
r758,75.5366264,169.741673
r759,271.095238,119.137442
r760,266.685491,257.956781
r761,278.148591,117.294961
r762,209.490537,134.196806
r763,73.7868054,442.186057
r764,42.1558298,121.10802
r765,204.758929,448.186103
r766,203.492366,430.903319
r767,260.202612,131.785849
r768,138.021091,190.885779
r769,141.385454,80.4905295
r770,168.95682,404.269176
r771,139.275151,458.172313
r772,63.434718,280.287945
r773,131.264234,288.140171
r774,87.5201386,334.139322
r775,214.005814,281.110086
r776,42.6421698,108.578209
r777,260.525862,262.744819
r778,256.054896,249.665627
r779,220.996927,426.3868
r780,268.461236,230.060863
r781,190.140902,218.071557
r782,197.428125,72.359349
r783,131.530148,429.663987
r784,55.7453525,171.497609
r785,205.811404,213.325752
r786,70.5961282,205.810064
r787,109.916444,331.174163
r788,191.733014,288.720986
r789,133.605759,103.287988
r790,56.9021584,183.818158
r791,247.257503,278.426063
r792,132.44565,359.174526
r793,200.982432,411.72521
r794,45.0871125,350.255992
r795,182.854903,222.741759
r796,106.297879,48.59654
r797,135.790457,418.068092
r798,74.9957031,92.5160752
r799,237.779615,458.658625
r800,73.6983718,67.1415981
r801,258.171404,387.291399
r802,255.981955,189.520993
r803,86.1638209,208.768462
r804,167.749663,446.176469
r805,165.309938,266.140543
r806,78.4805754,304.793633
r807,164.696084,179.511105
r808,93.8808422,83.2270776
r809,107.562878,453.835165
r810,160.885019,321.151309
r811,78.1505557,40.6486048
r812,260.951377,193.672592
r813,159.76707,263.538525
r814,187.682579,273.235563
r815,218.54341,268.41698
r816,188.036371,270.900645
r817,263.233851,285.49477
r818,59.2908319,66.3313613
r819,46.7490859,65.0479617
r820,169.966832,416.888185
r821,97.8886165,285.9472
r822,194.761005,386.475172
r823,130.656832,281.260558
r824,51.2448848,180.852279
r825,51.5537198,416.284962
r826,271.082246,68.9180163
r827,94.3520201,333.871065
r828,42.7344567,62.9707445
r829,92.4341532,404.422281
r830,53.4250165,385.621055
r831,96.3933152,111.045902
r832,136.647105,382.689149
r833,43.4330647,229.208774
r834,126.82316,145.8359
r835,180.279938,281.93101
r836,185.390497,327.125991
r837,103.292467,295.054454
r838,202.035682,322.561594
r839,264.593492,142.4377
r840,40.8619375,440.228114
r841,228.873082,430.79018
r842,233.663955,333.815277
r843,57.5292123,153.5453
r844,176.079833,448.808381
r845,169.405803,62.3566423
r846,73.0420372,291.458938
r847,106.319836,315.662092
r848,124.442442,364.519343
r849,235.073257,353.669674
r850,81.1699235,393.474508
r851,165.078902,387.528011
r852,223.509482,236.920759
r853,109.301355,112.24327
r854,144.826796,452.843403
r855,200.668182,208.821359
r856,48.8617077,361.787849
r857,174.555124,78.6471294
r858,263.771977,416.070755
r859,144.309398,376.36902
r860,264.695828,304.321808
r861,274.792631,307.10573
r862,202.422949,418.764623
r863,111.584535,384.223262
r864,89.9808147,249.552432
r865,116.535143,345.968866
r866,245.049992,368.001448
r867,54.6543776,154.132334
r868,83.6910653,340.123997
r869,156.120784,279.941587
r870,121.188058,414.428616
r871,235.207048,51.8310477
r872,248.903795,325.179117
r873,44.5987069,330.849569
r874,237.939564,279.836854
r875,136.304439,390.154943
r876,201.293989,163.819615
r877,68.4813317,120.046321
r878,154.341841,111.020118
r879,262.081591,46.8622579
r880,177.961442,88.1587586
r881,259.060379,66.8383885
r882,221.272462,378.286686
r883,191.439982,95.7881112
r884,230.660956,77.8963519
r885,261.651151,414.931543
